p_name,p_rating,rank,tourist_attractions,location,description,known_for,best_time
Coorg,4.2/5,11 out of 100  ,37,Karnataka,"Coorg, often called the ""Scotland of India,"" is a lush hill station nestled in Karnataka’s Western Ghats, renowned for its misty landscapes, sprawling coffee plantations, and verdant forests. Located amidst imposing mountains, Coorg is one of the most affluent hill stations in the state, with its ro...","['Abbey Falls', 'Mandalpatti', ""Raja's Seat""]", October to March 
Mcleodganj,4.2/5,12 out of 100  ,42,Himachal Pradesh,"Mcleodganj, Himachal Pradesh is one of the most popular tourist destinations for it's tibetan culture, nature treks, greenery, ancient temples & monasteries, and british influence. Located in the Kangra district, it's on the outskirts of Dharamshala. Perched at an altitude of 2,082 meters i...","['Naddi View Point', 'St. John in the Wilderness Church', 'Dalai Lama Temple']", October to June 
Kashmir,4.6/5,13 out of 100  ,45,Jammu and Kashmir,"Popularly referred to as the ""Paradise on Earth,"" Kashmir is a breathtaking valley in Jammu & Kashmir union territory in 2019. Offering unique experiences year-round, it captivates visitors with Shikara rides and Mughal gardens in Srinagar during summers and autumn where the ...","['Dal Lake', 'Gulmarg Gondola', 'Houseboat Stay']", September - November; March - May 
Tawang,4.3/5,14 out of 100  ,13,Arunachal Pradesh,"Located amidst the majestic Himalayas in Arunachal Pradesh, Tawang stands as a captivating destination steeped in natural beauty and cultural heritage. Renowned for being the birthplace of the 6th Dalai Lama, Tsangyang Gyatso, its breathtaking landscapes, including snow-capped peaks, alpine mea...","['Tawang Monastery', 'Sela Pass', 'Madhuri Lake']", March - June; September - October 
Kodaikanal,4.0/5,15 out of 100  ,35,Tamil Nadu,"Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaik...","['Green Valley View (Suicide Point)', 'Kodaikanal Lake', 'Bear Shola Falls']", September to May 
Nainital,4.4/5,16 out of 100  ,33,Uttarakhand,"Nainital, a picturesque hill station in the Kumaon region of Uttarakhand, is known for its serene lakes, lush green hills, and pleasant climate. Located approximately 300 kilometers from Delhi, Nainital town is centered around the emerald-green Naini Lake, which offers boating opportunities aga...","['Naini Lake', 'Snow View Point', 'Mall Road Nainital']", Throughout the year 
Shimla,4.8/5,17 out of 100  ,65,Himachal Pradesh,"Shimla is the capital of Himachal Pradesh and a popular hill-station among Indian families and honeymooners. Situated at the height of 2200m, it was the summer capital of British India. The hill station still retains its old-world charm with beautiful colonial architecture, pedestrian...","['Jakhu Temple', 'Mall Road, Shimla', 'Rashtrapati Niwas (Viceregal Lodge)']", October to June 
Mussoorie,4.8/5,18 out of 100  ,36,Uttarakhand,"Mussoorie, often referred to as the ""Queen of the Hills,"" is a picturesque hill station located in the Dehradun district of Uttarakhand, India. Perched at an altitude of approximately 2,000 meters (6,600 feet) above sea level, Mussoorie offers breathtaking views of the Shivalik ranges and the Doon V...","['Mussoorie Mall Road', 'Lal Tibba', 'Kempty Falls']", September to June 
Khajjiar,4.6/5,19 out of 100  ,14,Himachal Pradesh,"Often referred to as 'mini-Switzerland of India', Khajjiar is a small town located close (20km) to Dalhousie and is great for a day or overnight trip. Khajjiar is known for its picture perfect grassy meadows.There is the Khajjiar Lake in the middle of the meadow and you could enj...","['Khajjiar lake', 'Homestay Experience in Khajjiar', 'Kalatop Wildlife Sanctuary']", Throughout the year 
Wayanad,4.3/5,20 out of 100  ,46,Kerala,"Nestled in the Western Ghats of Kerala, Wayanad in Kerala is famous for its spice plantations and wildlife. Situated at an altitude ranging from 700 to 2100 meters above sea level, this picturesque region is blessed with verdant forests, mist-covered hills, and glistening waterfalls, making it ...","['Edakkal Caves', 'Banasura Sagar Dam', 'Chembra Peak']", Throughout the year 
Agra,4.9/5,21 out of 100  ,20,Uttar Pradesh,"Located on the banks of River Yamuna in Uttar Pradesh, Agra is a popular tourist destination as it is home to one of the 7 wonders of the world, the Taj Mahal. It is a sneak peek into the architectural history and legacy of the Mughal empire with two other UNESCO World Heritage S...","['Taj Mahal', 'Agra Fort', 'Taj Mahotsav']", October to March 
Andaman and Nicobar Islands,4.6/5,22 out of 100  ,81,,"Replete with turquoise blue water beaches and a bit of history, Andaman & Nicobar Islands is a little slice of paradise tucked around 1,400 km away from the east coast of mainland India. Port Blair, the capital of this union territory, has a major airport and seaport connected with the rest of t...","['Radhanagar Beach', 'Cellular Jail', 'Scuba Diving In Andaman']", October to Jun 
Alleppey,4.8/5,23 out of 100  ,39,Kerala,"Officially called Alappuzha, Alleppey is known for its network of canals and lagoons with beautiful backwaters and the houseboats offering overnight stays. Located in the southern part of Kerala, the coastline of Alleppey offers some of the best beaches with water sports during the dry sea...","['Houseboats in Alleppey', 'Alleppey Beach', 'Ambalappuzha Sree Krishna Swamy Temple']", June to March 
Goa,4.9/5,24 out of 100  ,198,Goa,"Lying on the western coast, Goa is India's smallest state and unlike any other, known for its endless beaches, stellar nightlife, eclectic seafood, world-heritage listed architecture. Spread across just 3,702 km, Goa lies in the Konkan region. It is a far cry from the hippie haven or ...","['Calangute Beach', 'Baga Beach', 'Dudhsagar Falls']", October to March 
Amritsar,4.7/5,25 out of 100  ,34,Punjab,"Amritsar, colloquially known as Ambarsar, is a city steeped in history and spirituality. It stands as a prominent cultural and religious hub in the heart of Punjab, as the second largest city of India. The city is most renowned for the Golden Temple, the holiest shrine in Sikhism. The resplende...","['Golden Temple', 'Jallianwala Bagh', 'Partition Museum']", October to March 
Jaipur,4.8/5,26 out of 100  ,77,Rajasthan,"Jaipur, the capital city of Rajasthan, stands as a jewel in the crown of the Golden Triangle, alongside Delhi and Agra. This enchanting city, often referred to as the ""Pink City,"" owes its nickname to the terracotta-pink hue that adorns many of its buildings. The Pink City is a testament to the roya...","['Amer Fort', 'Hawa Mahal', 'City Palace, Jaipur']", November to March 
Udaipur,4.6/5,27 out of 100  ,43,Rajasthan,"Udaipur, the ""City of Lakes,"" stands as a jewel in the crown of Rajasthan, India. Nestled amidst the Aravalli Range, this city captivates visitors with its regal charm, historic grandeur, and scenic landscapes. Located around stunning water lakes and enveloped by the Aravalli Hills in all direc...","['City Palace, Udaipur', 'Lake Pichola', 'Jagmandir Palace']", October to March 
Delhi,4.7/5,28 out of 100  ,121,Ncr,"The capital of India, Delhi is a cosmopolitan city with a historic old Delhi and the modern New Delhi. From historical monuments to crowded shopping malls, from an extensive network of the modern metro system to Delhi University campus, Dilli has multiple personalities and is considered to be the ci...","['India Gate', 'Red Fort', 'Qutub Minar']", October to March 
Char Dham Yatra,4.7/5,29 out of 100  ,,Uttarakhand,"Char Dham, which translates to ""four abodes,"" holds significant spiritual prominence in India. Located in the majestic state of Uttarakhand, this pilgrimage circuit encompasses four sacred sites: Yamunotri, Gangotri, Kedarnath, and Badrinath. Each of these destinations is deeply intertwined with Hin...",," May - June, September - October "
Varanasi,4.8/5,30 out of 100  ,43,Uttar Pradesh,"World's oldest living city, Varanasi - also known as Kashi (City of Life) and Benaras, is the spiritual capital of India. It is one of Hinduism's seven holy cities. The old city of Varanasi lies along the western banks of the Ganges, spread across a labyrinth of narrow galis. Be&...","['Shri Kashi Vishwanath Temple', 'Ganga Aarti, Varanasi', 'Assi Ghat']", October to March 
Mumbai,4.7/5,31 out of 100  ,120,Maharashtra,"Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles.","['Gateway of India', 'Chhatrapati Shivaji Terminus', 'Chhatrapati Shivaji Maharaj Vastu Sangrahalaya']", October to February 
Jaisalmer,4.4/5,32 out of 100  ,39,Rajasthan,"Jaisalmer, a mesmerizing destination nestled in the heart of the Thar Desert, is a jewel in the crown of Rajasthan. Often referred to as the ""Golden City,"" Jaisalmer captivates visitors with its sandstone architecture, picturesque landscapes, and rich cultural heritage. The city is adorned with...","['Jaisalmer Fort', 'Desert Safari in Jaisalmer', 'Gadisar Lake']", October to March 
Lakshadweep,4.0/5,33 out of 100  ,18,,"Formerly known as Laccadive Islands, Lakshadweep translates to 'one hundred thousand islands' in Malayalam. Home to a few of the most beautiful and exotic islands and beaches of India, Lakshadweep lies 400km off the southwest coast of the Arabian Sea. The smallest union territory of India has 3...","['Minicoy Island', 'Agatti Islands', 'Kalpeni Island']", September to May 
Jodhpur,4.3/5,34 out of 100  ,43,Rajasthan,"Jodhpur, fondly known as the ""Blue City"" due to the indigo hues of its houses, is a historic city located in the heart of Rajasthan, India. Situated on the eastern edge of the Thar Desert, Jodhpur is renowned for its majestic Mehrangarh Fort, one of the largest forts in India, offering panoramic vie...","['Mehrangarh Fort', 'Umaid Bhawan Palace', 'Mahamandir Temple']", November to February 
Kolkata,4.7/5,35 out of 100  ,79,West Bengal,"Kolkata, India's second biggest city, is a perpetually ongoing festival of human existence, concurrently luxurious and squalid, refined and frantic, pointedly futuristic, while beautifully in decay. A vibrant 350-year-old metropolis located on India's Eastern Coast, the capital of West Bengal thrive...","['Victoria Memorial', 'Fort William Kolkata', 'Belur Math']", October to March 
Pondicherry,4.5/5,36 out of 100  ,48,,"Pondicherry, officially known as Puducherry, is a charming coastal town and one of the Union Territories of India, located on the southeastern coast, about 160 kilometers south of Chennai. Famous for its unique blend of French and Indian cultures, Pondicherry offers visitors a taste of its rich hist...","['Paradise Beach, Pondicherry', 'Aurobindo Ashram', 'Auroville']", October to March 
Pahalgam,4.0/5,37 out of 100  ,25,Jammu and Kashmir,"Situated in the Anantnag district, about 90km away from Srinagar, Pahalgam is a beautiful hill station and a popular tourist attraction of Jammu & Kashmir. Pahalgam is located on the banks of the Liddar River, and the rugged terrains, green meadows, and snow-capped mountains make it a perfect sp...","['Aru Valley', 'Betaab Valley', 'River Rafting in Pahalgam']", Throughout the year 
Golden Triangle India,4.1/5,38 out of 100  ,,,"The Golden Triangle, a popular tourist circuit in India, encompasses three of the country's most iconic cities: Delhi, Agra, and Jaipur. This triangular journey, marked by roughly equidistant points on the Indian map, promises a rich tapestry of history, culture, and architectural marvels. Spanning ...",, October - March 
Varkala,4.5/5,39 out of 100  ,31,Kerala,"Varkala is a coastal town in the southern part of Kerala known for the unique 15m high 'Northern Cliff' adjacent to the Arabian Sea. Located approximately 50 kilometers north of Thiruvananthapuram (Trivandrum), the capital city of Kerala, Varkala offers a perfect blend of natural beauty, s...","['Varkala Cliff', 'Janardhanaswamy Temple', 'Varkala Beach']", October to February 
Kanyakumari,4.3/5,40 out of 100  ,28,Tamil Nadu,"Located at the southernmost tip of the Indian subcontinent, Kanyakumari is a captivating coastal town in the state of Tamil Nadu. Renowned for its breathtaking confluence of three vast water bodies – the Arabian Sea, the Bay of Bengal, and the Indian Ocean – Kanyakumari is celebrated for its stunnin...","['Kanyakumari Beach', 'Vivekananda Rock Memorial', 'Thanumalayan Temple - Sthanumalayan Kovil']", October to February 
Dalhousie,4.6/5,41 out of 100  ,29,Himachal Pradesh,"Dalhousie is a popular hill station spread out over five hills in Himachal Pradesh boasting views of the snow-capped peaks of the Dhauladhar ranges. Famous for its meadows, dense forests, and waterfalls, it is especially a favourite amongst honeymooners and family vacationers.","['Panchpula', 'Dainkund Peak', ""Beeji's Park""]", Throughout the year 
Vaishno Devi,4.1/5,42 out of 100  ,11,Jammu and Kashmir,"Vaishno Devi is a temple town that's home to the famous Vaishno Devi Mandir. Located in Trikuta hills, 13 kms from Katra (in the union territory of Jammu and Kashmir); this renowned shrine allures millions of devotees from all over the world.  Popularly known as Mata Rani, Vaishnavi and Tr...","['Vaishno Devi\xa0Mandir', 'Ardhkuwari']", March to June 
